,name,state,categories,lat,long,city,Active Life,Arts & Entertainment,Automotive,Beauty & Spas,Education,Event Planning & Services,Financial Services,Food,Health & Medical,Home Services,Hotels & Travel,Local Flavor,Local Services,Mass Media,Nightlife,Pets,Professional Services,Religious Organizations,Restaurants,Shopping
"Saint-Jean-Sur-Richelieu, QC",saintjeansurrichelieu,QC,"Counter({'Restaurants': 189867651501001105166912744426159776, 'Food': 69715597690955662773123756157160293, 'Shopping': 31300070525488002857735500011813399, 'Nightlife': 28067928467079739228061195676615525, 'Event Planning & Services': 16610279501856709555642055575672044, 'Hotels & Travel': 13313256844324455351909097386256667, 'Beauty & Spas': 13073665003348438096936121648422162, 'Active Life': 9942677808459647000746403854413240, 'Arts & Entertainment': 9227567959417513156756150245947938, 'Health & Medical': 5848748898553652752741776832246465, 'Local Services': 5384688496325389540651988569674515, 'Home Services': 4614540186781012552137156647070749, 'Automotive': 4310964288202217660308415110887788, 'Pets': 2318702259102297878626936282293156, 'Local Flavor': 2294751752565565850494589127101204, 'Education': 1905127582783680792791392224950468, 'Professional Services': 1354521756624780511310804153472097, 'Financial Services': 430491880052954380889231541767614, 'Religious Organizations': 322833100987576380638801760135933, 'Mass Media': 161273001973852303725222657435853})",45.30402285,-73.26676203,saintjeansurrichelieu,9.94268E+33,9.22757E+33,4.31096E+33,1.30737E+34,1.90513E+33,1.66103E+34,4.30492E+32,6.97156E+34,5.84875E+33,4.61454E+33,1.33133E+34,2.29475E+33,5.38469E+33,1.61273E+32,2.80679E+34,2.3187E+33,1.35452E+33,3.22833E+32,1.89868E+35,3.13001E+34
"Emsworth, PA",emsworth,pennsylvania,"Counter({'Restaurants': 7789811180647179438730636569241886093153614489, 'Food': 3920761855693195696111270967500960024927441620, 'Shopping': 3565443357676896568991392803833860327822978661, 'Nightlife': 1914583454898802139008310541292479648557803013, 'Beauty & Spas': 1850603961642190236769888565882259470202914756, 'Automotive': 1642400493243505797697059868137952573026068391, 'Home Services': 1621777311591512096965925191523232799038626452, 'Local Services': 1294771730335570910005236640408456911976469067, 'Health & Medical': 1289979566790335366081620572100725638206651568, 'Event Planning & Services': 1236188559181011907618773033002020703019426149, 'Active Life': 1088630177957323391813155336297080793900939880, 'Arts & Entertainment': 686902775386907754227807899263221821510035393, 'Hotels & Travel': 665073768051994896606731157087756731320548485, 'Pets': 566836715799886387782901171071983253183437427, 'Professional Services': 354040310556380061135334402462754689854277599, 'Education': 277942066101036904313377922774346395455730889, 'Local Flavor': 194674428471663382250629551199107504445604646, 'Financial Services': 176026569567398341497897704940344145082422806, 'Religious Organizations': 76220252252201180726197303775707546909086278, 'Mass Media': 26950679896399229571519045251924234429536847})",40.5131271,-80.0988166,emsworth,1.08863E+45,6.86903E+44,1.6424E+45,1.8506E+45,2.77942E+44,1.23619E+45,1.76027E+44,3.92076E+45,1.28998E+45,1.62178E+45,6.65074E+44,1.94674E+44,1.29477E+45,2.69507E+43,1.91458E+45,5.66837E+44,3.5404E+44,7.62203E+43,7.78981E+45,3.56544E+45
"Estérel, QC",estérel,QC,"Counter({'Restaurants': 1458126933498793633339158752057009, 'Food': 535394996854494573939309463162798, 'Shopping': 240375206059707095369223989873755, 'Nightlife': 215553319071578046595173786290143, 'Event Planning & Services': 127561992383270672116959465397333, 'Hotels & Travel': 102241841745192121134372797160724, 'Beauty & Spas': 100401847867288972245161340641934, 'Active Life': 76356800060484920137086856624750, 'Arts & Entertainment': 70864969708893438268399151687081, 'Health & Medical': 44916647089867850661323899399879, 'Local Services': 41352801611662489315949232795960, 'Home Services': 35438292299214912782070242119414, 'Automotive': 33106919942842215819561783872813, 'Pets': 17806941772510059419198521547291, 'Local Flavor': 17623009025799049786385097999004, 'Education': 14630811611390740801020294424885, 'Professional Services': 10402323090483249843040430289721, 'Financial Services': 3306049240064651850361412172402, 'Religious Organizations': 2479261927208485603891186868045, 'Mass Media': 1238528553785994741212303767756})",46.0356362,-74.0262889,estérel,7.63568E+31,7.0865E+31,3.31069E+31,1.00402E+32,1.46308E+31,1.27562E+32,3.30605E+30,5.35395E+32,4.49166E+31,3.54383E+31,1.02242E+32,1.7623E+31,4.13528E+31,1.23853E+30,2.15553E+32,1.78069E+31,1.04023E+31,2.47926E+30,1.45813E+33,2.40375E+32
"Las Vegas, NC",las vegas,north carolina,"Counter({'Restaurants': 57534386811330559, 'Shopping': 45623370891824984, 'Home Services': 36806515990211548, 'Food': 32550661796868096, 'Health & Medical': 31624938851926016, 'Beauty & Spas': 30108983029794548, 'Local Services': 24115849844162560, 'Automotive': 20909318049251326, 'Nightlife': 16678417460396032, 'Event Planning & Services': 15853650316324784, 'Active Life': 14914256684498944, 'Professional Services': 14238340385611776, 'Arts & Entertainment': 12886789762514816, 'Hotels & Travel': 9822898068213248, 'Financial Services': 7523249363529728, 'Education': 5849878586593280, 'Pets': 4987934461313024, 'Local Flavor': 2308423582892032, 'Religious Organizations': 1045635555418112, 'Mass Media': 620115966590976})",36.105837,-115.1174318,las vegas,1.49143E+16,1.28868E+16,2.09093E+16,3.0109E+16,5.84988E+15,1.58537E+16,7.52325E+15,3.25507E+16,3.16249E+16,3.68065E+16,9.8229E+15,2.30842E+15,2.41158E+16,6.20116E+14,1.66784E+16,4.98793E+15,1.42383E+16,1.04564E+15,5.75344E+16,4.56234E+16
"Cleveland Heigh, OH",cleveland heigh,ohio,"Counter({'Restaurants': 5751212170528968975654017296227559695030862, 'Food': 2720119667192476901657177322499655190093738, 'Shopping': 2511420538013144530617769242775462046272682, 'Nightlife': 1558671068343856269761101653932034364634328, 'Beauty & Spas': 1323611742274733018800569060211075784755476, 'Automotive': 1183864855622020890954446119333484219760048, 'Home Services': 1055710409203422284960254016968800419979480, 'Event Planning & Services': 996511546315766506023806299714995250505362, 'Local Services': 926350140905460161823439986145551124600140, 'Health & Medical': 833350321660331323528303164562492652960310, 'Active Life': 745066095394852398312740431502429417967638, 'Hotels & Travel': 578330083396936218837548329069423992374024, 'Arts & Entertainment': 549159136643563606713359684950536848439800, 'Pets': 428432412631421100498666938356504285263048, 'Professional Services': 248582340969062745727753915282198932249946, 'Education': 183310298790340462295307729359766024140700, 'Local Flavor': 100261651668650993874429757683470146950110, 'Financial Services': 97934198268649551339759136622134078437919, 'Religious Organizations': 34408967996420918083601572957370002317698, 'Mass Media': 14735490047325058614535722088033377866188})",41.5004913,-81.5657742,cleveland heigh,7.45066E+41,5.49159E+41,1.18386E+42,1.32361E+42,1.8331E+41,9.96512E+41,9.79342E+40,2.72012E+42,8.3335E+41,1.05571E+42,5.7833E+41,1.00262E+41,9.2635E+41,1.47355E+40,1.55867E+42,4.28432E+41,2.48582E+41,3.4409E+40,5.75121E+42,2.51142E+42
"Richmond Hill, BC",richmond hill,BC,"Counter({'Restaurants': 876588062868318970515802638, 'Food': 425777561296082922194902441, 'Shopping': 308849273156165806937154982, 'Beauty & Spas': 198080831164844696698820067, 'Nightlife': 149778270298481290721707646, 'Health & Medical': 99320461914635555936292709, 'Event Planning & Services': 96208256906978885863881813, 'Local Services': 88886034785947927978246110, 'Active Life': 81445513969782241123882787, 'Automotive': 75315356838164246814605839, 'Home Services': 59206925198300076443384779, 'Arts & Entertainment': 52800661795409001482122284, 'Hotels & Travel': 49336875023320499308596309, 'Pets': 35350188589559005047393649, 'Professional Services': 27442443519823172869250441, 'Education': 24575508480240463382650500, 'Local Flavor': 11817005303171782371857311, 'Financial Services': 10107514823836667018357735, 'Mass Media': 1985347771061829606893400, 'Religious Organizations': 1798197175084238449335879})",43.8757949,-79.4135347,richmond hill,8.14455E+25,5.28007E+25,7.53154E+25,1.98081E+26,2.45755E+25,9.62083E+25,1.01075E+25,4.25778E+26,9.93205E+25,5.92069E+25,4.93369E+25,1.1817E+25,8.8886E+25,1.98535E+24,1.49778E+26,3.53502E+25,2.74424E+25,1.7982E+24,8.76588E+26,3.08849E+26
"Lake Mead, NV",lake mead,nevada,"Counter({'Restaurants': 115068773622626248, 'Shopping': 91246741783622319, 'Home Services': 73613031980400785, 'Food': 65101323593716464, 'Health & Medical': 63249877703832864, 'Beauty & Spas': 60217966059570846, 'Local Services': 48231699688310503, 'Automotive': 41818636098489982, 'Nightlife': 33356834920781954, 'Event Planning & Services': 31707300632639960, 'Active Life': 29828513368988858, 'Professional Services': 28476680771214920, 'Arts & Entertainment': 25773579525021820, 'Hotels & Travel': 19645796136420550, 'Financial Services': 15046498727054896, 'Education': 11699757173183015, 'Pets': 9975868922623025, 'Local Flavor': 4616847165782666, 'Religious Organizations': 2091271110835590, 'Mass Media': 1240231933181576})",36.12934828,-114.8745704,lake mead,2.98285E+16,2.57736E+16,4.18186E+16,6.0218E+16,1.16998E+16,3.17073E+16,1.50465E+16,6.51013E+16,6.32499E+16,7.3613E+16,1.96458E+16,4.61685E+15,4.82317E+16,1.24023E+15,3.33568E+16,9.97587E+15,2.84767E+16,2.09127E+15,1.15069E+17,9.12467E+16
"Leaside, ON",leaside,ON,"Counter({'Restaurants': 1769921627448953720203035541, 'Food': 859688770748883032496014263, 'Shopping': 623598508052126570866518006, 'Beauty & Spas': 399945609474251540691096018, 'Nightlife': 302417761720079429779961281, 'Health & Medical': 200538247139398556900036771, 'Event Planning & Services': 194254384529996422632478153, 'Local Services': 179470063545072564084259010, 'Active Life': 164446885304515052115940174, 'Automotive': 152069466370233942988276545, 'Home Services': 119544882986805549876379375, 'Arts & Entertainment': 106609977039295601388728057, 'Hotels & Travel': 99616234618561789600420197, 'Pets': 71375673442701820435546956, 'Professional Services': 55409121288796005565612931, 'Education': 49620484018919204331763277, 'Local Flavor': 23859751397167490787323094, 'Financial Services': 20408113963966652726565115, 'Mass Media': 4008621731069324040641946, 'Religious Organizations': 3630745392750467765421098})",43.7070398,-79.3619449,leaside,1.64447E+26,1.0661E+26,1.52069E+26,3.99946E+26,4.96205E+25,1.94254E+26,2.04081E+25,8.59689E+26,2.00538E+26,1.19545E+26,9.96162E+25,2.38598E+25,1.7947E+26,4.00862E+24,3.02418E+26,7.13757E+25,5.54091E+25,3.63075E+24,1.76992E+27,6.23599E+26
"Lake Norman, NC",lake norman,north carolina,"Counter({'Restaurants': 122324079606846151, 'Shopping': 68051606850337104, 'Food': 63485018266709425, 'Beauty & Spas': 43211622738529043, 'Home Services': 40131095505340561, 'Health & Medical': 32493392903607525, 'Automotive': 32210122063341656, 'Local Services': 29508011424865319, 'Nightlife': 25246584556026351, 'Event Planning & Services': 23385587119679463, 'Active Life': 21808370422973121, 'Hotels & Travel': 12906046192177501, 'Arts & Entertainment': 11703793147726413, 'Pets': 11569277541485777, 'Professional Services': 10101670674747198, 'Education': 6149188346655683, 'Financial Services': 4166665880488564, 'Local Flavor': 3294909498727124, 'Religious Organizations': 1212915003121143, 'Mass Media': 330250987557575})",35.44587708,-80.87976837,lake norman,2.18084E+16,1.17038E+16,3.22101E+16,4.32116E+16,6.14919E+15,2.33856E+16,4.16667E+15,6.3485E+16,3.24934E+16,4.01311E+16,1.2906E+16,3.29491E+15,2.9508E+16,3.30251E+14,2.52466E+16,1.15693E+16,1.01017E+16,1.21292E+15,1.22324E+17,6.80516E+16
"Vegas, NV",vegas,nevada,"Counter({'Restaurants': 230137547245287366, 'Shopping': 182493483567272286, 'Home Services': 147226063960823880, 'Food': 130202647187452656, 'Health & Medical': 126499755407684896, 'Beauty & Spas': 120435932119159942, 'Local Services': 96463399376635622, 'Automotive': 83637272196992634, 'Nightlife': 66713669841574018, 'Event Planning & Services': 63414601265289528, 'Active Life': 59657026737986745, 'Professional Services': 56953361542438471, 'Arts & Entertainment': 51547159050051452, 'Hotels & Travel': 39291592272847046, 'Financial Services': 30092997454114352, 'Education': 23399514346369575, 'Pets': 19951737845249073, 'Local Flavor': 9233694331566730, 'Religious Organizations': 4182542221671814, 'Mass Media': 2480463866363528})",36.0715214,-115.2985387,vegas,5.9657E+16,5.15472E+16,8.36373E+16,1.20436E+17,2.33995E+16,6.34146E+16,3.0093E+16,1.30203E+17,1.265E+17,1.47226E+17,3.92916E+16,9.23369E+15,9.64634E+16,2.48046E+15,6.67137E+16,1.99517E+16,5.69534E+16,4.18254E+15,2.30138E+17,1.82493E+17
"Fort Mill, NC",fort mill,north carolina,"Counter({'Restaurants': 328328143517534620, 'Shopping': 182656250612047339, 'Food': 170399141818013956, 'Beauty & Spas': 115983638852790358, 'Home Services': 107715244021811350, 'Health & Medical': 87215006259735127, 'Automotive': 86454683440274297, 'Local Services': 79201990655966910, 'Nightlife': 67763961634366477, 'Event Planning & Services': 62768887603729910, 'Active Life': 58535505005480253, 'Hotels & Travel': 34640916163425315, 'Arts & Entertainment': 31413967623185789, 'Pets': 31052916394259031, 'Professional Services': 27113735821476050, 'Education': 16504939996163009, 'Financial Services': 11183682539002499, 'Local Flavor': 8843814907516000, 'Religious Organizations': 3255566136277620, 'Mass Media': 886421495981066})",35.150262,-80.949851,fort mill,5.85355E+16,3.1414E+16,8.64547E+16,1.15984E+17,1.65049E+16,6.27689E+16,1.11837E+16,1.70399E+17,8.7215E+16,1.07715E+17,3.46409E+16,8.84381E+15,7.9202E+16,8.86421E+14,6.7764E+16,3.10529E+16,2.71137E+16,3.25557E+15,3.28328E+17,1.82656E+17
"Blakeney, NC",blakeney,north carolina,"Counter({'Restaurants': 617894069039484127, 'Shopping': 343748217003352964, 'Food': 320681066115019010, 'Beauty & Spas': 218274320882053257, 'Home Services': 202713692811003031, 'Health & Medical': 164133462705288566, 'Automotive': 162702580309210630, 'Local Services': 149053443174695460, 'Nightlife': 127527751778781878, 'Event Planning & Services': 118127319074854794, 'Active Life': 110160344415267497, 'Hotels & Travel': 65192147143277021, 'Arts & Entertainment': 59119221615941136, 'Pets': 58439744643359838, 'Professional Services': 51026440725142000, 'Education': 31061316962420758, 'Financial Services': 21047026419472814, 'Local Flavor': 16643534485020462, 'Religious Organizations': 6126782143682943, 'Mass Media': 1668192617202635})",35.034145,-80.808963,blakeney,1.1016E+17,5.91192E+16,1.62703E+17,2.18274E+17,3.10613E+16,1.18127E+17,2.1047E+16,3.20681E+17,1.64133E+17,2.02714E+17,6.51921E+16,1.66435E+16,1.49053E+17,1.66819E+15,1.27528E+17,5.84397E+16,5.10264E+16,6.12678E+15,6.17894E+17,3.43748E+17
"cave creek, AZ",cave creek,arizona,"Counter({'Restaurants': 262477177716092767234, 'Shopping': 227110415057456098037, 'Home Services': 206799070155016439076, 'Health & Medical': 177564368687146021176, 'Beauty & Spas': 148176042299183564380, 'Food': 145686986571082320109, 'Local Services': 123495169510391211767, 'Automotive': 110742661904871900753, 'Active Life': 72506303201855812044, 'Event Planning & Services': 61848702378477015070, 'Professional Services': 61668217697924983354, 'Nightlife': 58685265622647539854, 'Arts & Entertainment': 34060496454778496849, 'Hotels & Travel': 33881787394581460388, 'Financial Services': 32487196756432747398, 'Education': 30319739102277411906, 'Pets': 29829700795404449282, 'Local Flavor': 8330189209320671518, 'Religious Organizations': 5176470610486869377, 'Mass Media': 2564712545670907344})",33.8333716,-111.9507042,cave creek,7.25063E+19,3.40605E+19,1.10743E+20,1.48176E+20,3.03197E+19,6.18487E+19,3.24872E+19,1.45687E+20,1.77564E+20,2.06799E+20,3.38818E+19,8.33019E+18,1.23495E+20,2.56471E+18,5.86853E+19,2.98297E+19,6.16682E+19,5.17647E+18,2.62477E+20,2.2711E+20
"East Calgary, AB",east calgary,AB,"Counter({'Restaurants': 411810285, 'Food': 211442688, 'Shopping': 203334816, 'Beauty & Spas': 112884986, 'Nightlife': 91143678, 'Automotive': 74051136, 'Health & Medical': 60790784, 'Home Services': 59358976, 'Local Services': 53660416, 'Active Life': 48979704, 'Event Planning & Services': 46858232, 'Arts & Entertainment': 32516096, 'Hotels & Travel': 31620736, 'Pets': 25214974, 'Professional Services': 16774144, 'Education': 14807040, 'Local Flavor': 9269120, 'Financial Services': 6029312, 'Mass Media': 1966080, 'Religious Organizations': 917504})",50.93428511,-113.9645816,east calgary,48979704,32516096,74051136,112884986,14807040,46858232,6029312,211442688,60790784,59358976,31620736,9269120,53660416,1966080,91143678,25214974,16774144,917504,411810285,203334816
